Date,Alkoholunfälle and insgesamt,Alkoholunfälle and Verletzte und Getötete,Fluchtunfälle and insgesamt,Fluchtunfälle and Verletzte und Getötete,Verkehrsunfälle and insgesamt,Verkehrsunfälle and mit Personenschäden,Verkehrsunfälle and Verletzte und Getötete
2000-01,78.0,37.0,835.0,34.0,3448.0,321.0,434.0
2000-02,53.0,19.0,890.0,35.0,3181.0,329.0,419.0
2000-03,73.0,18.0,974.0,48.0,3783.0,414.0,509.0
2000-04,78.0,26.0,834.0,57.0,3317.0,441.0,557.0
2000-05,96.0,44.0,1086.0,69.0,4123.0,568.0,675.0
2000-06,57.0,32.0,842.0,58.0,3329.0,555.0,685.0
2000-07,99.0,37.0,1102.0,67.0,4282.0,610.0,744.0
2000-08,77.0,32.0,881.0,74.0,3387.0,525.0,647.0
2000-09,84.0,45.0,978.0,68.0,3807.0,557.0,675.0
2000-10,83.0,31.0,1078.0,47.0,4117.0,493.0,615.0
2000-11,71.0,24.0,1017.0,56.0,3931.0,461.0,578.0
2000-12,85.0,31.0,950.0,45.0,3789.0,403.0,515.0
2001-01,66.0,36.0,871.0,44.0,3348.0,354.0,448.0
2001-02,49.0,20.0,820.0,51.0,3148.0,343.0,439.0
2001-03,63.0,36.0,962.0,43.0,3970.0,426.0,535.0
2001-04,68.0,32.0,897.0,68.0,3565.0,454.0,578.0
2001-05,85.0,32.0,1081.0,67.0,4128.0,655.0,817.0
2001-06,68.0,46.0,905.0,78.0,3715.0,560.0,679.0
2001-07,71.0,35.0,1047.0,83.0,4288.0,755.0,921.0
2001-08,60.0,21.0,814.0,57.0,3351.0,510.0,600.0
2001-09,107.0,48.0,953.0,40.0,3939.0,497.0,643.0
2001-10,77.0,37.0,1104.0,85.0,4250.0,581.0,717.0
2001-11,68.0,25.0,1001.0,32.0,4022.0,436.0,568.0
2001-12,66.0,23.0,941.0,39.0,3989.0,377.0,507.0
2002-01,44.0,24.0,852.0,36.0,3063.0,328.0,431.0
2002-02,49.0,22.0,817.0,33.0,2892.0,316.0,393.0
2002-03,61.0,21.0,897.0,39.0,3380.0,414.0,520.0
2002-04,65.0,28.0,784.0,37.0,3142.0,432.0,521.0
2002-05,58.0,32.0,857.0,73.0,3731.0,537.0,654.0
2002-06,74.0,42.0,987.0,74.0,3586.0,675.0,833.0
2002-07,84.0,40.0,1026.0,72.0,3960.0,711.0,865.0
2002-08,71.0,29.0,785.0,50.0,3007.0,479.0,601.0
2002-09,107.0,51.0,1039.0,77.0,3436.0,509.0,621.0
2002-10,83.0,53.0,1019.0,49.0,3859.0,467.0,630.0
2002-11,44.0,10.0,882.0,50.0,3529.0,448.0,563.0
2002-12,63.0,27.0,706.0,38.0,3023.0,304.0,394.0
2003-01,55.0,18.0,747.0,21.0,3073.0,282.0,358.0
2003-02,44.0,16.0,572.0,20.0,2968.0,232.0,308.0
2003-03,53.0,17.0,854.0,44.0,3060.0,374.0,476.0
2003-04,50.0,25.0,844.0,30.0,3106.0,429.0,535.0
2003-05,65.0,26.0,763.0,56.0,3255.0,510.0,632.0
2003-06,82.0,41.0,855.0,81.0,3139.0,566.0,723.0
2003-07,76.0,35.0,562.0,35.0,3321.0,538.0,644.0
2003-08,66.0,40.0,698.0,41.0,2837.0,461.0,577.0
2003-09,63.0,26.0,945.0,50.0,3393.0,452.0,560.0
2003-10,74.0,17.0,960.0,47.0,3631.0,466.0,595.0
2003-11,44.0,31.0,953.0,59.0,3325.0,359.0,464.0
2003-12,58.0,27.0,858.0,78.0,3527.0,383.0,493.0
2004-01,42.0,10.0,828.0,33.0,2969.0,286.0,377.0
2004-02,48.0,21.0,723.0,31.0,2728.0,240.0,310.0
2004-03,44.0,18.0,817.0,20.0,3271.0,321.0,403.0
2004-04,37.0,10.0,875.0,39.0,3183.0,388.0,461.0
2004-05,55.0,30.0,867.0,41.0,3378.0,476.0,600.0
2004-06,58.0,25.0,859.0,53.0,3229.0,491.0,598.0
2004-07,67.0,44.0,970.0,83.0,3760.0,646.0,811.0
2004-08,58.0,47.0,784.0,48.0,2926.0,584.0,584.0
2004-09,79.0,41.0,957.0,63.0,3663.0,541.0,659.0
2004-10,68.0,26.0,1022.0,40.0,3716.0,465.0,561.0
2004-11,51.0,20.0,903.0,46.0,3449.0,360.0,439.0
2004-12,52.0,12.0,942.0,45.0,3792.0,416.0,416.0
2005-01,48.0,13.0,749.0,24.0,2788.0,244.0,306.0
2005-02,40.0,14.0,961.0,22.0,3461.0,229.0,282.0
2005-03,40.0,13.0,1115.0,33.0,3560.0,299.0,385.0
2005-04,40.0,19.0,937.0,45.0,3320.0,422.0,514.0
2005-05,48.0,21.0,902.0,52.0,3321.0,521.0,618.0
2005-06,57.0,31.0,901.0,53.0,3499.0,627.0,729.0
2005-07,63.0,26.0,951.0,65.0,3631.0,558.0,675.0
2005-08,48.0,33.0,811.0,37.0,2965.0,462.0,582.0
2005-09,76.0,50.0,1086.0,81.0,3921.0,678.0,825.0
2005-10,57.0,35.0,962.0,54.0,3503.0,451.0,568.0
2005-11,42.0,14.0,845.0,27.0,3205.0,496.0,458.0
2005-12,41.0,12.0,817.0,32.0,3549.0,487.0,460.0
2006-01,44.0,21.0,708.0,31.0,2893.0,291.0,364.0
2006-02,50.0,21.0,698.0,33.0,2901.0,237.0,279.0
2006-03,40.0,14.0,1138.0,34.0,4165.0,275.0,375.0
2006-04,40.0,16.0,750.0,25.0,2874.0,301.0,387.0
2006-05,53.0,28.0,476.0,33.0,3032.0,471.0,564.0
2006-06,51.0,22.0,565.0,40.0,2853.0,406.0,479.0
2006-07,64.0,37.0,845.0,78.0,3611.0,671.0,787.0
2006-08,48.0,25.0,774.0,40.0,2993.0,422.0,513.0
2006-09,64.0,35.0,718.0,66.0,3233.0,407.0,490.0
2006-10,45.0,24.0,599.0,43.0,3286.0,500.0,632.0
2006-11,48.0,22.0,494.0,38.0,3073.0,384.0,468.0
2006-12,52.0,21.0,864.0,44.0,3419.0,386.0,466.0
2007-01,36.0,13.0,699.0,19.0,2735.0,218.0,268.0
2007-02,32.0,15.0,612.0,33.0,2643.0,217.0,277.0
2007-03,38.0,14.0,411.0,20.0,2836.0,293.0,347.0
2007-04,49.0,27.0,821.0,43.0,3292.0,396.0,500.0
2007-05,63.0,39.0,858.0,48.0,3529.0,482.0,591.0
2007-06,51.0,27.0,804.0,50.0,3225.0,444.0,535.0
2007-07,65.0,38.0,935.0,59.0,3622.0,435.0,511.0
2007-08,44.0,20.0,759.0,39.0,2943.0,344.0,422.0
2007-09,54.0,24.0,797.0,41.0,3414.0,385.0,462.0
2007-10,55.0,18.0,873.0,49.0,3695.0,405.0,491.0
2007-11,36.0,26.0,868.0,46.0,3444.0,324.0,405.0
2007-12,37.0,20.0,690.0,29.0,3184.0,333.0,414.0
2008-01,32.0,8.0,727.0,27.0,2945.0,260.0,307.0
2008-02,30.0,16.0,793.0,29.0,3171.0,279.0,340.0
2008-03,30.0,9.0,763.0,25.0,2910.0,210.0,254.0
2008-04,25.0,10.0,837.0,41.0,3339.0,315.0,355.0
2008-05,57.0,37.0,871.0,57.0,3428.0,445.0,534.0
2008-06,56.0,32.0,859.0,59.0,3374.0,424.0,473.0
2008-07,52.0,24.0,832.0,48.0,3500.0,459.0,538.0
2008-08,44.0,23.0,760.0,55.0,2870.0,402.0,480.0
2008-09,49.0,28.0,747.0,48.0,3271.0,360.0,422.0
2008-10,45.0,19.0,874.0,46.0,3683.0,373.0,455.0
2008-11,27.0,14.0,625.0,27.0,2983.0,281.0,321.0
2008-12,35.0,20.0,657.0,27.0,2888.0,230.0,272.0
2009-01,23.0,7.0,512.0,22.0,2482.0,184.0,223.0
2009-02,32.0,12.0,802.0,35.0,3480.0,273.0,340.0
2009-03,14.0,5.0,607.0,20.0,2744.0,202.0,245.0
2009-04,45.0,31.0,776.0,43.0,2953.0,357.0,416.0
2009-05,57.0,34.0,768.0,49.0,3240.0,454.0,535.0
2009-06,31.0,19.0,678.0,34.0,2876.0,371.0,443.0
2009-07,44.0,27.0,991.0,61.0,3622.0,476.0,556.0
2009-08,35.0,26.0,752.0,40.0,2749.0,376.0,466.0
2009-09,49.0,18.0,846.0,37.0,3252.0,388.0,452.0
2009-10,35.0,15.0,953.0,47.0,3567.0,360.0,432.0
2009-11,31.0,5.0,835.0,34.0,3294.0,312.0,366.0
2009-12,34.0,14.0,747.0,37.0,3202.0,312.0,391.0
2010-01,19.0,7.0,613.0,17.0,2346.0,147.0,192.0
2010-02,23.0,10.0,683.0,21.0,2539.0,200.0,247.0
2010-03,31.0,12.0,829.0,29.0,3309.0,291.0,341.0
2010-04,33.0,25.0,938.0,41.0,3202.0,377.0,216.0
2010-05,34.0,15.0,743.0,31.0,2974.0,320.0,389.0
2010-06,39.0,20.0,814.0,57.0,3193.0,440.0,517.0
2010-07,48.0,29.0,932.0,65.0,3712.0,619.0,721.0
2010-08,40.0,25.0,794.0,48.0,2843.0,416.0,481.0
2010-09,54.0,26.0,955.0,42.0,3524.0,456.0,534.0
2010-10,27.0,13.0,910.0,49.0,3500.0,432.0,524.0
2010-11,28.0,7.0,827.0,33.0,3329.0,319.0,383.0
2010-12,26.0,12.0,861.0,23.0,3413.0,223.0,277.0
2011-01,25.0,16.0,726.0,26.0,2775.0,255.0,328.0
2011-02,25.0,7.0,760.0,26.0,2903.0,264.0,343.0
2011-03,22.0,9.0,883.0,32.0,3523.0,373.0,425.0
2011-04,43.0,27.0,835.0,55.0,3529.0,505.0,604.0
2011-05,43.0,20.0,1034.0,68.0,4143.0,636.0,765.0
2011-06,27.0,21.0,783.0,49.0,3212.0,399.0,472.0
2011-07,39.0,27.0,951.0,56.0,4074.0,532.0,637.0
2011-08,34.0,17.0,790.0,35.0,3322.0,402.0,487.0
2011-09,36.0,22.0,906.0,52.0,3730.0,441.0,519.0
2011-10,26.0,10.0,916.0,36.0,3830.0,393.0,481.0
2011-11,40.0,16.0,842.0,33.0,3567.0,359.0,438.0
2011-12,37.0,6.0,832.0,30.0,3506.0,315.0,370.0
2012-01,21.0,11.0,713.0,32.0,3176.0,273.0,338.0
2012-02,18.0,5.0,714.0,20.0,3102.0,233.0,290.0
2012-03,21.0,5.0,946.0,44.0,3739.0,424.0,526.0
2012-04,34.0,22.0,919.0,37.0,3667.0,394.0,485.0
2012-05,54.0,33.0,1035.0,64.0,4114.0,596.0,719.0
2012-06,43.0,35.0,1041.0,61.0,4018.0,577.0,681.0
2012-07,56.0,30.0,1045.0,64.0,4281.0,632.0,730.0
2012-08,55.0,31.0,887.0,64.0,3452.0,545.0,635.0
2012-09,49.0,24.0,921.0,61.0,3962.0,532.0,632.0
2012-10,32.0,6.0,1090.0,61.0,4146.0,477.0,580.0
2012-11,30.0,10.0,984.0,49.0,3839.0,394.0,471.0
2012-12,27.0,11.0,810.0,23.0,3395.0,248.0,317.0
2013-01,17.0,2.0,796.0,29.0,3316.0,254.0,320.0
2013-02,15.0,0.0,773.0,22.0,3467.0,263.0,326.0
2013-03,21.0,8.0,906.0,33.0,3712.0,284.0,350.0
2013-04,28.0,5.0,1038.0,50.0,4008.0,440.0,523.0
2013-05,33.0,21.0,848.0,43.0,3703.0,454.0,530.0
2013-06,37.0,20.0,1055.0,54.0,4284.0,580.0,734.0
2013-07,42.0,24.0,1138.0,68.0,4641.0,812.0,976.0
2013-08,39.0,22.0,791.0,36.0,3387.0,514.0,645.0
2013-09,47.0,17.0,1000.0,53.0,4130.0,531.0,617.0
2013-10,31.0,12.0,1074.0,53.0,4533.0,510.0,595.0
2013-11,35.0,12.0,939.0,53.0,4043.0,388.0,483.0
2013-12,32.0,10.0,828.0,27.0,3764.0,356.0,423.0
2014-01,21.0,4.0,778.0,29.0,3410.0,324.0,412.0
2014-02,17.0,7.0,742.0,22.0,3315.0,309.0,372.0
2014-03,37.0,16.0,993.0,46.0,4027.0,460.0,559.0
2014-04,35.0,15.0,946.0,55.0,3840.0,455.0,549.0
2014-05,28.0,19.0,925.0,50.0,4346.0,536.0,671.0
2014-06,31.0,16.0,880.0,58.0,3833.0,558.0,656.0
2014-07,35.0,21.0,1029.0,62.0,4443.0,654.0,783.0
2014-08,32.0,13.0,802.0,43.0,3379.0,432.0,517.0
2014-09,43.0,18.0,936.0,60.0,4137.0,534.0,620.0
2014-10,36.0,21.0,1042.0,55.0,4251.0,529.0,652.0
2014-11,42.0,14.0,943.0,42.0,3904.0,401.0,464.0
2014-12,25.0,3.0,830.0,35.0,3919.0,331.0,413.0
2015-01,22.0,21.0,781.0,19.0,3326.0,263.0,334.0
2015-02,23.0,3.0,713.0,18.0,3090.0,262.0,321.0
2015-03,23.0,9.0,908.0,49.0,3888.0,376.0,471.0
2015-04,29.0,23.0,966.0,45.0,4022.0,495.0,598.0
2015-05,50.0,30.0,940.0,41.0,3915.0,487.0,604.0
2015-06,39.0,19.0,952.0,54.0,3898.0,560.0,673.0
2015-07,49.0,37.0,1176.0,65.0,4729.0,708.0,809.0
2015-08,49.0,29.0,864.0,36.0,3431.0,481.0,546.0
2015-09,45.0,25.0,1007.0,49.0,4015.0,509.0,614.0
2015-10,25.0,12.0,1110.0,52.0,4467.0,475.0,569.0
2015-11,30.0,11.0,991.0,43.0,3992.0,430.0,506.0
2015-12,27.0,6.0,950.0,38.0,3862.0,384.0,479.0
2016-01,21.0,6.0,777.0,31.0,3297.0,298.0,380.0
2016-02,10.0,3.0,775.0,24.0,3383.0,305.0,351.0
2016-03,20.0,6.0,898.0,41.0,3653.0,299.0,370.0
2016-04,27.0,8.0,998.0,42.0,4209.0,447.0,545.0
2016-05,25.0,17.0,850.0,44.0,3833.0,502.0,602.0
2016-06,30.0,19.0,1018.0,54.0,4260.0,592.0,691.0
2016-07,35.0,23.0,1095.0,61.0,4478.0,623.0,742.0
2016-08,34.0,12.0,958.0,70.0,3400.0,469.0,540.0
2016-09,29.0,22.0,958.0,70.0,4289.0,627.0,759.0
2016-10,30.0,11.0,1022.0,44.0,4297.0,448.0,559.0
2016-11,20.0,7.0,960.0,32.0,3998.0,402.0,489.0
2016-12,20.0,10.0,870.0,35.0,3700.0,317.0,381.0
2017-01,19.0,4.0,690.0,22.0,3320.0,242.0,307.0
2017-02,22.0,4.0,846.0,41.0,3223.0,277.0,334.0
2017-03,36.0,15.0,1060.0,36.0,4106.0,407.0,486.0
2017-04,26.0,10.0,895.0,36.0,3533.0,365.0,439.0
2017-05,29.0,16.0,1070.0,60.0,4314.0,545.0,631.0
2017-06,41.0,27.0,948.0,54.0,3818.0,568.0,668.0
2017-07,52.0,18.0,1064.0,65.0,4355.0,611.0,752.0
2017-08,30.0,14.0,831.0,38.0,3267.0,447.0,504.0
2017-09,47.0,22.0,1009.0,59.0,4017.0,430.0,546.0
2017-10,32.0,16.0,1052.0,59.0,4198.0,490.0,572.0
2017-11,33.0,13.0,925.0,48.0,3809.0,373.0,443.0
2017-12,42.0,17.0,873.0,33.0,3494.0,307.0,376.0
2018-01,22.0,8.0,860.0,40.0,3328.0,290.0,350.0
2018-02,24.0,13.0,774.0,40.0,3109.0,265.0,328.0
2018-03,32.0,12.0,954.0,35.0,3796.0,331.0,383.0
2018-04,25.0,8.0,1010.0,44.0,4016.0,519.0,619.0
2018-05,34.0,23.0,994.0,43.0,3953.0,528.0,640.0
2018-06,39.0,14.0,1034.0,49.0,4284.0,622.0,732.0
2018-07,51.0,29.0,1151.0,72.0,4547.0,714.0,852.0
2018-08,40.0,18.0,813.0,39.0,3206.0,456.0,529.0
2018-09,36.0,22.0,1102.0,59.0,4124.0,528.0,645.0
